"unigram","bigram","freq"
"right","now",40
"feel","like",22
"dont","know",21
"cant","wait",20
"year","old",20
"even","though",19
"dont","think",17
"first","time",17
"new","york",16
"im","going",15
"can","get",14
"happy","birthday",13
"im","sure",13
"last","night",13
"looking","forward",13
"looks","like",13
"next","week",13
"good","morning",12
"im","just",12
"just","like",12
"one","day",12
"can","see",11
"dont","like",11
"dont","want",11
"last","week",11
"mothers","day",11
"one","thing",11
"want","go",11
"will","get",11
"years","ago",11
"good","luck",10
"ice","cream",10
"just","got",10
"lets","go",10
"social","media",10
"come","back",9
"get","back",9
"im","getting",9
"last","year",9
"let","us",9
"little","bit",9
"one","another",9
"one","favorite",9
"one","time",9
"will","always",9
"best","friend",8
"can","make",8
"dont","get",8
"follow","back",8
"great","day",8
"hard","work",8
"high","school",8
"im","glad",8
"let","know",8
"long","time",8
"make","sure",8
"much","better",8
"someone","else",8
"stay","tuned",8
"will","come",8
"can","find",7
"can","still",7
"can","tell",7
"cant","believe",7
"dont","need",7
"every","day",7
"every","time",7
"happy","friday",7
"hard","time",7
"join","us",7
"know","can",7
"like","one",7
"love","love",7
"now","im",7
"oh","yes",7
"people","like",7
"really","like",7
"science","fiction",7
"something","like",7
"sounds","like",7
"thank","much",7
"thanks","follow",7
"wanna","go",7
"will","see",7
"called","best",6
"can","add",6
"cant","get",6
"cellular","phones",6
"cuz","itz",6
"didnt","know",6
"dont","even",6
"feel","free",6
"feels","like",6
"get","better",6
"go","home",6
"good","thing",6
"happy","mothers",6
"hope","see",6
"im","gonna",6
"im","thinking",6
"itz","skinny",6
"last","time",6
"look","like",6
"many","people",6
"much","like",6
"please","follow",6
"really","good",6
"really","want",6
"rt","rt",6
"s","o",6
"spring","break",6
"take","care",6
"thanks","much",6
"think","can",6
"trying","get",6
"us","know",6
"wait","see",6
"will","ever",6
"will","go",6
"years","old",6
"youre","welcome",6
"absolutely","free",5
"another","day",5
"around","world",5
"blah","blah",5
"brand","new",5
"can","come",5
"can","help",5
"can","take",5
"can","use",5
"can","work",5
"cant","even",5
"come","home",5
"ð<U+009F><U+0098><U+0084>","cuz",5
"dont","give",5
"e","mail",5
"east","coast",5
"even","know",5
"ever","seen",5
"finally","got",5
"find","one",5
"first","day",5
"friday","night",5
"get","excited",5
"getting","ready",5
"go","away",5
"good","idea",5
"good","news",5
"good","one",5
"group","people",5
"happy","easter",5
"id","love",5
"ill","take",5
"im","working",5
"ive","ever",5
"ive","got",5
"ive","heard",5
"jesus","christ",5
"just","take",5
"just","wanna",5
"know","im",5
"last","day",5
"last","minute",5
"looking","like",5
"los","angeles",5
"lot","people",5
"love","song",5
"love","u",5
"many","ways",5
"marshall","ð<U+009F><U+0098><U+0084>",5
"much","love",5
"much","time",5
"new","followers",5
"next","day",5
"next","time",5
"one","best",5
"one","last",5
"one","mentions",5
"past","weekend",5
"people","dont",5
"pie","crust",5
"pretty","much",5
"really","nice",5
"samsung","cellular",5
"see","soon",5
"th","birthday",5
"thanks","following",5
"thanks","mention",5
"think","im",5
"think","will",5
"time","will",5
"two","years",5
"united","states",5
"virginia","marshall",5
"wait","till",5
"want","read",5
"well","can",5
"west","virginia",5
"whats","going",5
"whats","good",5
"will","keep",5
"years","later",5
"’m","going",4
"african","american",4
"back","day",4
"beautiful","day",4
"blog","post",4
"can","please",4
"can","put",4
"can","u",4
"chicago","illinois",4
"come","see",4
"coming","home",4
"couple","days",4
"crap","west",4
"day","will",4
"didnt","really",4
"dont","make",4
"dont","worry",4
"facebook","page",4
"far","good",4
"full","time",4
"get","enough",4
"get","home",4
"give","us",4
"go","back",4
"go","see",4
"going","bed",4
"going","get",4
"good","times",4
"got","go",4
"great","deal",4
"half","time",4
"hope","everyone",4
"im","always",4
"im","excited",4
"im","happy",4
"im","sorry",4
"ive","always",4
"just","don’t",4
"just","finished",4
"just","get",4
"just","look",4
"just","one",4
"just","read",4
"just","want",4
"know","will",4
"know","youre",4
"large","bowl",4
"last","one",4
"lets","get",4
"lets","see",4
"like","duck",4
"like","im",4
"like","us",4
"like","watching",4
"look","back",4
"look","forward",4
"many","times",4
"may","well",4
"much","fun",4
"need","make",4
"need","see",4
"never","know",4
"never","really",4
"new","year",4
"new","years",4
"next","year",4
"one","can",4
"one","three",4
"one","will",4
"orange","one",4
"parking","lot",4
"past","week",4
"past","years",4
"peoplere","interested",4
"pm","today",4
"real","life",4
"really","well",4
"s","s",4
"said","“",4
"saturday","night",4
"see","u",4
"since","last",4
"six","years",4
"skinny","ppl",4
"sometimes","just",4
"sure","check",4
"t","shirt",4
"t","shirts",4
"take","look",4
"talking","crap",4
"thank","god",4
"things","happen",4
"things","just",4
"think","know",4
"three","years",4
"time","im",4
"time","spent",4
"time","work",4
"today","first",4
"two","days",4
"two","weeks",4
"u","know",4
"u","need",4
"us","will",4
"w","o",4
"want","know",4
"way","around",4
"weeks","ago",4
"west","coast",4
"will","probably",4
"will","soon",4
"will","take",4
"world","war",4
"wow","just",4
"youll","get",4
"youre","beautiful",4
"youre","going",4
"youre","right",4
"–","’s",3
"’m","sure",3
"’s","good",3
"’s","hard",3
"’s","time",3
"“","”",3
"“","rt",3
"“","will",3
"able","get",3
"absolutely","nothing",3
"also","known",3
"also","said",3
"always","love",3
"amount","time",3
"another","friend",3
"answer","question",3
"anyone","can",3
"anyone","else",3
"anyone","know",3
"anyway","can",3
"april","–",3
"april","th",3
"around","people",3
"b","c",3
"back","forth",3
"bakery","café",3
"beautiful","people",3
"better","better",3
"bin","laden",3
"board","meeting",3
"book","club",3
"bundt","cake",3
"bus","stop",3
"can","also",3
"can","become",3
"can","go",3
"can","hear",3
"can","imagine",3
"can","never",3
"can","read",3
"can","really",3
"can","set",3
"can","will",3
"cant","come",3
"carol","ann",3
"cell","phone",3
"central","india",3
"chance","win",3
"cinco","de",3
"class","love",3
"close","friends",3
"coconut","milk",3
"cuz","im",3
"day","–",3
"day","everyone",3
"day","school",3
"de","mayo",3
"decided","try",3
"decreased","average",3
"despite","fact",3
"didn’t","know",3
"dining","room",3
"doesnt","mean",3
"don’t","know",3
"don’t","let",3
"don’t","make",3
"don’t","want",3
"dont","care",3
"dont","remember",3
"dont","waste",3
"earlier","year",3
"email","address",3
"even","give",3
"even","think",3
"every","night",3
"every","single",3
"everyone","else",3
"everyone","know",3
"excited","see",3
"existence","god",3
"falling","asleep",3
"far","away",3
"far","can",3
"fast","enough",3
"feel","bad",3
"find","way",3
"fine","art",3
"follow","will",3
"forward","seeing",3
"four","times",3
"four","years",3
"free","time",3
"free","woman",3
"frozen","pizza",3
"gave","us",3
"get","away",3
"get","good",3
"get","little",3
"get","see",3
"get","work",3
"getting","back",3
"glad","finally",3
"global","warming",3
"go","check",3
"go","get",3
"go","make",3
"god","will",3
"going","really",3
"gonna","take",3
"good","day",3
"good","job",3
"good","reason",3
"good","stuff",3
"great","job",3
"great","season",3
"great","time",3
"great","way",3
"great","week",3
"great","weekend",3
"half","years",3
"hanley","wood",3
"happy","new",3
"happy","th",3
"hard","get",3
"haunted","mansion",3
"health","care",3
"help","people",3
